Word,V.Mean.Sum,V.SD.Sum,A.Mean.Sum,A.SD.Sum,D.Mean.Sum,D.SD.Sum
bra,5.9,1.76,3.92,2.24,5.63,2.34
brace,4.85,1.09,3.9,2.26,4.97,2.48
bracelet,6.48,1.7,3.96,2.65,5,2
bracket,4.63,1.07,3.15,1.9,5.05,2.26
brag,4.05,1.36,3.5,2.19,5.32,1.89
braid,5.78,1.73,3.9,2.66,5.6,2.37
brain,6.22,1.63,3.35,2.78,6.28,1.81
brainless,3.57,1.86,3.95,2.44,4.11,2.72
brainstorm,6.57,1.75,4.29,2.84,6.55,2.61
brainwash,3.11,1.75,5.9,2.36,2.88,2.15
brainy,6.26,1.56,5.05,2.44,6.92,1.82
brake,4.9,1.51,3.82,2.65,5.67,2.66
bran,4.84,2.17,2.26,1.85,5.05,1.99
branch,5.15,1.76,2.67,1.91,4.91,1.97
brand,5.05,2.12,2.82,2.32,4.57,1.97
brandy,5.67,1.71,3.86,2.34,5.5,1.6
brash,4.38,1.4,3.55,2.22,5.33,2.2
brass,5.05,1.85,4,2.43,5.95,1.72
brass knuckle,4.25,2.17,5.23,2.29,5.53,2.72
brassiere,6,2.05,4.68,2.38,5.54,2.32
brat,2.67,1.57,4.67,2.01,4.61,2.55
bratwurst,5.65,2.33,2.75,1.65,4.81,1.86
bravado,5.89,1.81,4.7,2.41,6.04,1.93
brave,7.38,1.46,4.95,2.28,6.84,2.03
bravery,7.38,1.4,5.84,2.29,6.57,1.86
brawl,3.64,1.92,5.38,2.5,4.73,2.35
brawn,5,0.97,4.65,1.63,5.57,2
brazen,5,1.58,5.67,1.59,5.64,2.34
breach,3.67,1.77,3.46,2.64,4.76,2.59
bread,6.52,1.94,3.85,2.3,6.05,2.53
breadth,4.63,1.16,3.61,2.12,5.5,2.37
break,5.1,2.45,4.71,2.26,4.5,2.07
breakaway,4.67,2.18,4.6,2.46,5.81,2.04
breakdown,3.48,1.91,4.73,2.62,3.62,1.8
breaker,3.91,1.19,4.75,2.43,5.52,1.56
breakfast,7.39,1.79,5,2.49,6.83,1.65
breaking and entering,2,1.94,5.68,2.75,2.7,1.94
breakthrough,6.35,1.76,5.68,2.4,6.58,1.87
breakup,2.19,1.17,6.33,1.53,3.72,2.09
breast,6.64,1.91,5.39,2.95,5,2.23
breath,6.61,1.79,2.35,1.9,5.78,2.65
breathe,7.17,1.69,2.6,2.19,6.22,2.67
breather,5.95,1.88,2.85,1.66,5.42,2.28
breathless,4.95,1.96,5.73,2.27,5.19,2.91
breathtaking,7,2,5.38,2.84,5.52,2.5
breech,3.14,1.39,3.57,2.71,5.05,2.19
breed,5.74,0.93,4.1,2.43,6.17,2.19
breeder,4.71,1.65,3.79,2.54,5.3,2.49
breeding,5.62,1.72,3.95,2.68,5.41,2.56
breeze,7.61,1.33,3.2,2.5,4.55,2.5
breezy,6.26,1.88,4.19,2.82,5.76,2.26
brethren,5.62,1.75,3.71,2,5.48,2.5
brew,5.42,1.95,3.5,2.48,5.71,2.16
brewery,5.74,2.33,4.75,2.97,5.46,2.3
brewing,6.62,1.6,5.85,2.41,5.19,2.11
briar,4.95,1.72,4,2.39,4.58,1.92
bribe,3.32,0.89,4.44,2.28,4.59,2.67
bribery,3.59,1.74,5.05,2.3,4.14,2.13
brick,4.65,1.23,2.53,1.81,5,1.88
bridal,6.2,2.19,4.84,2.87,5.54,1.73
bride,6.8,1.92,4.5,2.82,6.08,2.35
bridegroom,6.1,2.05,4.33,2.82,4.75,2.47
bridesmaid,6.19,1.83,4.82,2.87,5.05,2.4
bridge,5.44,1.42,3.48,2.73,4.78,1.96
brief,6,1.41,3.42,2.21,5.39,2.06
briefcase,5.2,1.4,3.59,1.99,6.33,1.85
briefing,4.76,1.41,3.58,2.19,5.88,2.15
brig,4,1.8,3.29,2.31,3.5,1.65
brigade,4.43,1.8,4.44,2.24,5.59,2.54
bright,6.84,1.86,5,2.45,6.38,2.16
brighten,7.37,1.42,5.32,2.64,6.77,1.82
brightness,7.05,1.65,4.39,2.39,5.79,2.23
brilliance,7.09,1.72,5.24,2.7,6.64,1.94
brilliant,7.5,2.28,5.95,2.8,7.16,2.09
brim,5.21,1.18,4,2.22,4.79,1.65
brimstone,3.67,1.56,3.87,2.2,3.65,2.06
bring,5.68,1.25,4.29,2.05,5.72,2.02
brink,4.95,1.27,4.22,2.52,4.53,1.78
brisk,5.86,1.77,5.3,2.6,6.11,1.85
brisket,5.6,1.85,4.27,2.27,5.16,2.22
brittle,3.86,1.64,4.42,2.4,4.5,2.04
bro,5.32,2.29,3.77,2.37,5.13,2.34
broach,4.47,1.78,3.29,2.12,4.61,2.27
broad,5.14,1.8,3.26,2.51,4.23,2.67
broadcast,4.89,1.94,4.41,2.13,4.92,1.84
broadcasting,4.68,1.34,4.14,2.34,5.58,1.64
broaden,6.39,1.5,3.16,2.01,5.6,1.76
broadside,3.8,1.51,3.16,2.36,4.64,2.11
broadsword,5.24,1.64,4.62,2.4,6,1.89
broccoli,6,2.29,2.48,1.44,5.12,2.36
brochure,4.74,1.24,3.43,2.4,5.32,2.4
broken,2.75,1.35,4.86,2.08,3.76,2.51
brokenhearted,2.47,1.54,5.41,3.19,3.47,2.15
broker,4.15,1.35,3.77,1.88,5.37,2.09
brokerage,4.5,1,3.57,2.36,5.16,2.03
bromide,4.43,1.43,2.75,1.87,4.58,2.01
bronco,5.83,1.98,4.25,2.57,4.28,1.7
bronze,5.81,1.47,3.62,2.55,5.4,1.96
brooch,5.33,1.28,3.64,2.26,5.04,1.04
brood,4.65,1.81,2.57,1.99,4.04,2.46
brooding,3.29,1.42,4,2.55,4.18,2.58
brook,7,1.38,3.33,2.54,6.08,2.22
broom,5.5,1.19,3.33,1.43,5.76,2.21
broomstick,5,1.63,3.32,2.28,5.5,1.91
broth,5.55,1.15,2.27,1.49,6.23,2.01
brothel,4.63,2.65,5.4,2.37,4.88,2.38
brother,6.18,2,4.48,2.49,5.46,2.04
brotherhood,6.42,1.84,5.14,2.59,6.57,1.86
brotherly,7.45,1.36,4.44,2.83,6.31,2
brow,5.11,1.41,3.23,2.18,4.29,1.78
brown,5.52,1.63,3.32,2.19,4.65,1.44
brownstone,4.74,1.37,2.94,1.78,4.94,1.98
browse,5.47,1.43,3.57,1.91,5.95,1.99
bruise,3.24,1.34,4.04,2.84,3.78,2.26
bruising,3.42,2.14,4.96,2.29,4.21,1.87
brunch,6.57,1.57,4.09,2.07,5.64,1.73
brunette,6.35,2.13,4.15,2.64,5.36,2.25
brunt,3.71,1.38,3.96,2.85,4.85,2.21
brush,5.47,1.26,3.18,1.71,6.18,1.47
brutal,3.07,1.81,5.13,2.68,3.94,2.79
brutality,2.43,1.43,4.96,2.31,3.89,2.05
brute,3.48,1.86,4.85,2.58,5.55,2.19
brutish,3,2.33,4.74,2.32,5.11,2.16
bubble,6.43,2.04,4.19,2.34,6.12,1.88
bubbly,6.9,1.29,4.77,2.22,6,1.63
bubonic,2.17,1.47,5.78,2.37,3.52,2.02
buck,6.5,2.28,4.7,2.74,5.39,2.09
buckaroo,5.53,1.47,4.29,2.1,4.7,2.18
bucket,4.55,1.39,2.96,1.88,5.52,2.38
buckle,5.05,1.67,3.76,2.39,4.83,2.24
bucko,4.78,1.66,3.32,2.33,4.28,1.77
buckshot,4.76,1.84,5.15,2.74,5.14,2.09
buckwheat,5.24,1.97,2.7,2.12,6.22,1.7
budding,6.16,1.21,4.48,2.38,6.22,1.7
buddy,7.41,1.37,4.57,2.27,6.24,2.11
budge,4.83,1.2,3.95,2.26,4.32,1.63
budget,4.56,1.95,3.33,1.88,4.9,2.29
Budweiser,4.62,2.48,4.09,2.91,4.78,2.42
buff,6.21,1.81,4.59,2.5,5.39,2.46
buffer,5.42,1.35,4.05,1.96,5.43,1.75
buffet,6.05,1.93,4.95,2.7,5.88,1.88
buffoon,3.95,1.43,5.7,1.98,4,1.65
bug,3.45,1.47,6.06,2.39,4.08,1.98
bugger,3.71,1.68,3.3,1.92,4.32,1.6
buggy,4.65,1.6,4.04,1.99,5.33,1.88
bugle,5.05,1.67,4.41,2.11,5.42,1.95
bugler,4,1.97,4.15,2.68,4.24,1.64
build,6.33,1.68,3.38,2.18,6.5,2.01
builder,5.95,1.31,3.32,2.17,6.93,1.59
building,5.47,1.11,3.35,2.22,6,2.18
buildup,5.37,1.54,3.55,1.9,5.06,1.73
bulb,5.86,1.68,3.26,2.4,4.82,2.48
bulge,3.74,1.66,4.05,1.94,4.39,2.44
bulimic,2.86,1.42,4.3,2.49,4.06,2.46
bulk,4.89,1.41,3.43,2.34,5.05,2.14
bulkhead,4.67,1.43,3.65,1.87,4.88,2.28
bulky,4.21,1.96,3.95,1.81,5.24,2.07
bull,3.95,1.65,4.9,2.85,6.89,2.35
bulldog,4.74,1.82,3.72,2.32,4.44,2.78
bulldozer,4.81,1.72,4.05,2.72,5.64,2.98
bullet,3.45,2.16,5.89,2.65,3.93,2.86
bulletin,5.6,1.67,2.95,2.01,5.4,2.02
bulletproof,6.2,2.31,6.8,2.07,5.85,2.33
bullfighter,3.94,1.63,4.61,2.5,4.65,2.5
bullfrog,5.05,1.85,2.88,2.23,5.05,1.73
bullheaded,3.42,2.01,4.64,2.75,4.23,2.69
bullhorn,4.3,1.17,3.8,2.33,4.68,2.43
bullion,5.79,2.37,3.8,2.78,5.46,1.84
bullpen,5.15,1.23,4.52,2.15,5.62,1.94
bullshit,2.33,1.85,7,2.19,3,1.81
bully,2.67,2.13,5.86,2.12,3.18,1.82
bum,3.64,2.24,4.39,2.5,4.74,1.97
bumblebee,5.43,1.91,4.38,3.04,4.74,2.01
bummer,2.57,1.34,4.32,2.57,3.89,1.79
bump,5.05,1.6,4.75,2.15,5.33,1.96
bumper,4.79,1.65,3.45,1.71,5.11,1.94
bumpy,4.3,1.3,4.76,1.67,4.79,2.18
bun,5.47,2.09,3.05,2.09,5.29,1.97
bunch,5.83,1.69,2.81,1.97,4.56,1.82
bundle,5.1,1.62,3.48,2.33,5.12,1.82
bungalow,6.5,1.1,3.64,2.61,5.7,2.25
bungee,5.71,1.65,6.35,2.83,4.94,2.2
bunghole,3.9,2.22,4.59,2.67,5.42,2.27
bunion,3.48,2.09,4.11,2.28,4.19,2.2
bunk,5.43,1.75,3.53,1.93,5.19,2.11
bunker,4.7,1.45,4.23,2.27,4.95,2.15
bunkhouse,5.63,1.61,3.9,2.47,4.88,2.05
bunny,7.3,1.49,3.86,2.72,5.78,2.82
buoy,5.9,1.41,2.68,1.46,5.76,1.81
burden,3.05,2.09,3.96,2.16,3.14,1.82
burdened,3.27,1.41,4.1,2.28,3.65,2.22
bureau,4.7,1.87,3.74,2.12,5.19,1.86
bureaucracy,3.24,1.95,3.74,2.47,3.57,2.11
bureaucrat,3.05,1.19,3.1,2.05,4.46,2.72
bureaucratic,3.67,1.81,3.5,2.5,3.64,2.08
burger,6.95,2.16,3.65,2.6,5.59,2.43
burglar,2.67,1.91,5.32,2.78,3.88,2.36
burglary,2.26,1.52,6.33,2.59,2.85,2.01
burial,2.65,1.61,4.3,2.27,5.16,2.64
burlesque,5.68,2.31,5.3,2.24,4.74,1.63
burn,3.73,1.87,5.4,2.46,3.9,2.28
burner,3.9,1.92,4.67,2.43,4.64,2.41
burp,5.38,1.83,4.95,2.37,5.75,2.08
burr,4.33,1.49,2.96,2.16,4.84,2.03
burrito,6.65,1.66,4.65,2.87,5,1.57
burro,4.86,1.93,4.04,2.3,5.57,1.83
burrow,5.53,1.31,3.52,2.23,5.24,1.98
burst,5.43,1.21,5.09,2.45,4.45,1.84
bury,1.95,1.21,5.55,2.09,4.79,2.84
bus,5.12,1.75,3.83,2.44,4.88,2.03
busboy,4.71,1.76,3.91,2.09,4.57,1.75
bush,4.75,1.97,2.67,1.74,5,1.85
bushel,5.68,1.38,4.29,2.08,5.55,2.06
bushy,4.53,1.87,3.95,2.2,4.75,1.8
business,5.48,1.81,3.71,1.93,5.35,2.42
business man,4.44,1.98,2.9,1.89,5.45,2.5
businessman,5.38,1.83,3.36,2.38,5.43,1.78
businesswoman,6.1,1.17,4.24,2.32,5.2,2.38
busload,4.67,1.68,3.7,2.11,4.12,1.3
bust,4.77,2,5.8,2.88,6.53,2.06
buster,4.59,1.89,3.71,1.82,5.09,1.82
bustle,5.29,1.45,4.26,1.91,4.62,2.2
busy,5.41,1.99,4.52,2.68,4.44,2.09
busybody,3.68,2.38,4.34,2.18,5.61,2.22
butcher,4.4,2.06,4.15,1.93,5.18,1.94
butler,5.62,1.69,2.55,1.6,6.04,2.41
butt,5.36,2.26,5.2,3.14,5.68,2.71
butter,6.36,1.74,3.37,2.15,5.67,2.06
buttercup,6.83,1.76,3.23,2.18,6.22,2.04
butterfly,7.23,1.67,3.2,2.5,5.51,2.52
buttermilk,5.9,1.45,2.77,2.09,5.74,2.65
butterscotch,6.55,2.01,3.48,2.36,5.68,2.36
buttocks,6.85,1.53,5.35,1.85,6.29,2.1
button,5.48,1.47,4.1,2.22,6.53,2.37
buy,6.82,1.84,4.29,2.43,6.78,1.96
buyer,5.9,1.58,3.95,1.96,5.76,2.22
buzzard,4.74,1.85,5.81,1.91,4.91,2.5
buzzer,5.16,1.8,5.4,2.56,5.22,1.83
byline,4.68,1.2,3.33,2.17,5.35,2.29
bypass,3.95,1.86,3.41,2.36,5.59,2.35
bystander,4.68,1.94,3.05,2.06,4.55,2.37
byzantine,4.5,1.19,3.78,2.19,5.29,2
cab,4.81,1.66,4.05,2.39,6.47,2.57
cabana,6.2,2.07,3.95,2.39,5.32,2.08
cabaret,5.81,1.72,4.59,2.42,5.33,1.71
cabbage,4.6,1.96,2.91,1.95,5.93,2.37
cabbie,4.76,1,4.14,2.42,4.67,1.91
cabernet,5.94,1.92,2.75,2.34,4.8,1.91
cabin,5.9,1.48,3.74,2.33,6.3,2.13
cabinet,5.1,1.04,3.75,2.12,5.78,1.8
cable,5.9,1.97,3.52,2.37,5.79,2.04
caboodle,5.15,1.79,3.86,2.2,4.84,1.89
caboose,5.94,1.63,3.05,2.09,4.32,1.41
cache,4.95,1.91,4.14,2.53,6.06,1.83
cactus,5.11,0.99,4,2.03,5.5,2.42
cadaver,3.65,2.16,4.5,2.74,4.74,2.55
caddie,4.8,2.02,2.78,1.99,5.27,2
cadet,4.8,1.24,3.48,2.04,4.76,2.79
cafeteria,5.68,1.63,4.08,2.08,5.36,2.13
caffeine,6.74,2.1,6.23,2.62,5.68,2.11
cage,3.11,1.41,4.2,2.53,3.58,2.5
cagey,3.65,1.09,4.59,1.92,5.11,2.11
cahoots,4.84,1.61,4.39,2.57,4.76,2.36
cake,7.58,1.43,5.33,2.5,5.88,1.77
cakewalk,7.33,1.46,4.04,2.53,6.2,2.09
calamari,4.2,2.17,4.76,2.7,5.44,2.31
calamity,3.95,2.16,5.19,2.91,4.54,2.34
calcium,5.7,1.45,3.14,1.62,5.97,2.26
calculate,4.89,2.4,3.18,2.13,6.39,1.64
calculation,5.33,0.97,4.48,2.14,6.09,1.93
calculator,5.86,1.83,4.47,2.14,6.48,2.11
calculus,4,2.26,2.73,1.86,4.41,2.59
calendar,5.53,0.9,2.9,1.65,5.59,2.06
calf,5.44,1.29,3.7,2.44,5.16,2.22
caliber,4.79,1.58,4.1,2.05,5.45,2.42
calisthenics,5.05,1.63,3.88,3.13,5.3,1.95
call,6.18,1.84,3.29,2.03,5.61,1.65
callback,5.95,1.73,4.57,2.41,5.5,1.86
caller,5.52,1.47,3.41,2.24,5.44,2.29
calligraphy,6.8,1.4,3.29,2.51,5.52,2.43
callous,2.9,1.8,3.85,2.25,4.26,1.96
calm,6.89,2,1.67,1.91,7.44,2.28
camaraderie,5.85,2.01,4.09,2.16,6.32,2.14
camcorder,6.43,1.86,4.42,2.41,5.86,2.34
camel,5.29,1.42,3.1,1.55,5.21,2.32
cameo,5.86,1.42,3.42,2.47,5.65,2.16
camera,6.61,2.17,3.05,2.61,6.39,2.03
cameraman,4.86,1.58,4.31,2.33,5.62,2.12
camouflage,5.85,1.39,4.2,2.46,6.1,2.47
camp,7,1.61,4.14,2.26,5.89,2.05
campaign,4.55,1.76,3.5,2.56,5.14,2.44
camper,5.21,1.18,4.53,2.04,5.52,2.09
campfire,6.55,1.67,4.17,2.68,5.88,2.36
camping,6.09,1.8,5.5,2.92,6.32,1.73
campsite,6.47,1.5,4.25,2.4,5.62,2.04
campus,6.44,1.98,4.17,2.1,5.21,1.55
can,6.41,1.53,3.14,1.93,6.44,2.19
can opener,5.52,1.21,3.37,2.5,5.78,2.21
canal,5.71,1.74,4.05,2.33,5.81,1.91
canary,6.37,1.95,3.5,1.85,5.41,1.97
cancel,3.61,1.2,4.29,2.17,5.83,2.53
cancellation,3.74,0.93,3.9,2.39,5.28,2.87
cancer,1.9,1.84,5.14,2.87,2.9,2.19
candid,5.58,1.39,4,2.45,5.42,2.26
candidacy,4.8,1.4,3.05,1.99,4.95,1.65
candidate,4.5,1.7,5.32,2.32,5.48,1.75
candle,6.14,1.86,3.81,2.06,6.08,2.19
candlelight,6.63,1.34,3.22,2.51,6.18,2.27
candlestick,5.95,1.32,3.55,2.04,5.38,1.94
candor,6.14,1.39,3.9,2.1,6.18,2.24
candy,7.27,1.78,5.03,2.33,6.46,1.86
cane,4.64,1.31,3,1.86,4.38,2.24
canine,6.22,1.83,4.76,2.68,5.24,2.24
canister,4.84,1.95,3,2.14,5.57,2.09
canker,2.58,1.3,4.25,2.47,4.54,2.23
cannabis,6.05,2.46,5.85,2.94,5,2.74
canned,4.32,2.08,3,1.93,4.62,2.28
cannibal,2.9,2.1,6.1,2.14,3.2,2.12
cannibalism,2.32,1.92,6.05,2.18,4.09,3.22
cannon,4.74,1.65,5.09,2.83,4.95,2.5
cannonball,5.14,1.98,4.24,2.62,4.84,2.71
canoe,5.76,2.02,3.7,2.34,6.15,2.41
canon,4.9,1.58,5.86,2.01,4.8,2.29
canopy,6,1.27,3,1.92,5.91,1.82
cantaloupe,6.1,1.68,3.91,2.43,5.68,1.86
canteen,5.05,1.84,3.2,1.7,5.15,2.25
cantina,5.6,1.35,3.92,2.72,5.35,2.23
canvas,5.67,1.98,2.7,1.58,5.89,2.32
canvass,5.4,1.7,3.25,2.61,5.29,2.05
canyon,5.5,1.98,3.9,2.73,4.1,2.36
cap,5,1.67,3.27,1.78,5.57,1.66
capability,6.63,1.42,4.29,2.39,6.6,1.88
capable,7.05,1.58,4,2.38,7.07,1.67
capacity,5.14,1.49,3.67,2.13,6.08,1.96
caper,4.9,1.48,3.9,2.29,5.18,2.54
capital,5.29,1.82,3.14,2.08,5.85,2.13
capitalism,3.62,1.94,5.39,2.89,5.67,2.4
capitalist,5.24,1.81,3.08,2.45,5.3,2.68
capitalize,5.95,1.5,3.91,2.52,6.12,1.86
cappuccino,6.37,2.17,3.23,2.2,5.86,1.84
capricious,5,1.8,4.2,2.21,5.35,1.76
capsule,5.6,1.93,3.45,2.19,5.56,1.66
captain,5.71,1.49,3.86,1.93,5,2.35
captive,3.27,2.07,4.88,2.53,3.3,2.55
captivity,3.14,1.78,5.09,2.65,2.89,2
capture,5.05,2.01,5.43,2.11,3.57,2.77
car,6.63,1.96,4.04,2.27,6.41,1.94
caramel,6.68,2,4.29,2.8,6.05,2.31
caravan,5.86,1.36,3.8,2.09,5.59,2.26
carbon,4.5,1.47,4.05,2.06,5.05,1.61
carburetor,5.06,1.59,4.55,1.93,4.74,1.6
carcass,2.85,1.8,4.85,2.66,4.42,1.57
card,5.5,1.65,2.67,1.83,5.06,2.36
cardboard,4.71,1.06,2.25,1.87,5.26,2.02
cardiac,3.73,1.67,4.9,2.79,3.95,2.17
cardigan,5.95,1.93,3.24,1.89,5.44,2.57
cardinal,6.14,1.52,4.21,2.2,5.2,2.65
cardiologist,4.84,2.36,4.7,2.85,5.25,2.52
cardiology,4.76,1.89,3.32,2.38,5.44,2.45
care,7.64,1.29,2.67,1.85,6.56,1.85
career,6.11,2.19,4.24,2.49,6.17,2.33
carefree,7.32,1.49,4.15,2.81,6.45,2.35
careful,6.32,1.78,2.95,1.99,5.83,1.86
careless,3.53,1.81,4.27,2.03,3.62,2.26
carelessness,3.76,1.45,3.96,2.42,3.52,2.29
caress,6.82,1.45,4.6,2.7,6.38,1.86
caretaker,6.17,1.5,3.4,2.35,4.52,2.38
cargo,5.21,1.65,2.68,1.46,5.64,1.73
carjack,2.32,1.77,6.05,2.21,2.8,2.24
carnage,3.3,2,5.77,2.35,5.15,2.64
carnal,5.16,1.77,6.24,2.26,5.17,1.97
carnation,5.75,1.71,3.68,2.57,5.52,2.31
carnival,6.48,1.81,5.22,3.04,5.55,2.39
carnivorous,4.52,2.34,4.48,2.02,4.77,2.41
carousel,6.7,1.98,4.43,2.31,5.92,2.1
carp,4.55,1.1,4.31,2.53,5.83,2.2
carpal,4.19,1.25,3.79,2.62,4.42,2.34
carpenter,5.94,1.8,3.05,1.93,5.12,1.92
carpentry,4.87,1.32,4,2.35,6.3,1.95
carpet,5.95,1.5,2.77,1.6,5.1,1.81
carpeting,5.16,2.12,3,2.03,5.56,2.16
carpool,5.05,1.63,3.04,2.76,5.4,2.26
carriage,6.1,1.48,2.52,1.73,6,1.89
carrier,5.19,1.63,2.96,2.07,5.1,1.89
carrot,5.79,2.07,3.91,2.81,6.37,1.86
carry,5.67,1.91,3.47,2.04,4.94,2.36
carsick,2.48,1.33,4.04,2.64,3.21,2.46
cart,5.37,2.36,3.18,1.92,5.83,1.83
carte,5.47,1.12,2.95,1.96,5.78,1.65
cartel,3.7,2.43,3.76,2.3,3.92,2.87
cartilage,4.17,1.47,3.53,2.17,4.08,1.59
carton,5.3,1.42,3.41,1.99,5.68,1.92
cartoon,6.74,1.48,5.05,2.27,5.26,2.5
cartridge,5.05,1.72,3.06,2.34,5.54,2.38
carve,5.09,1.44,4.13,2.85,6.32,1.6
cascade,6.24,1.89,3.59,2.24,6.76,2.14
case,5.18,1.4,4.14,2.54,6.11,1.88
cash,7.51,1.53,6.59,2.7,6.16,2.48
cashier,5.1,1.45,3.45,1.99,5.43,2.36
cashmere,6.62,2.06,3.8,2.44,5.05,2.39
casing,4.3,1.55,2.95,2.18,4.96,1.99
casino,4.68,2.19,6.05,1.94,4.84,2.29
casket,2.42,1.22,4.82,2.75,3.11,2.31
casserole,6,2,3,2.07,6.08,1.7
cassette,5.36,1.5,3.77,2.31,5.8,2.24
cast,5.26,2.1,3.55,2.22,5.05,1.81
castaway,4.1,2.02,3.35,2.41,4.05,2.36
caste,4,2.13,3.38,2.25,3.64,2.4
castle,6.42,1.77,4.72,2.24,6.35,2.09
castrate,2.19,1.47,5.3,2.87,3.44,2.41
castration,2.25,1.74,5.25,2.47,2.95,2.5
casual,6.05,1.65,3,2.2,6.35,1.72
casualty,3.33,2.18,6.3,2.32,4.1,2.47
cat,6.95,1.85,4.5,2.48,5.48,2.29
catalog,5.95,1.39,2.33,1.68,5.76,1.96
catalogue,4.85,1.39,3.73,2.27,6.11,1.66
catalyst,5.3,1.72,3.38,2.6,4.65,2.52
catamaran,5.29,1.9,4.1,2.13,5.24,2.39
catapult,5.25,1.52,5.52,2.44,5.29,2.42
catastrophe,2.7,1.81,5.64,2.44,2.5,2.16
catastrophic,2.05,1.1,6.25,2.55,2.28,1.51
catatonic,3.2,1.99,3.18,2.24,4,2.57
catch,5.64,1.76,4,2.14,5.47,2.35
catcher,5.39,1.61,3.26,2.18,4.8,1.47
catchphrase,4.89,1.37,4.06,2.13,5.71,2.2
catchy,5.22,2.04,4,2.43,5.6,2.28
category,5.05,0.6,2.67,1.56,5.48,2.22
cater,5.73,1.72,3.45,1.95,5.39,2.52
caterer,6.16,2.12,3.76,1.92,5.74,1.94
caterpillar,5.25,2.4,3.24,1.84,5.04,1.97
catfish,5.24,2.17,4.26,2.42,5.79,1.44
cathedral,6,1.95,3.45,1.76,5.04,2.34
catheter,2.84,1.46,3.77,2.6,2.54,1.64
catholic,4.95,2.4,2.83,2.41,4.17,3.03
cathouse,4.95,2.24,4.68,2.53,5.22,2.45
catnip,4.74,2.66,4.57,2.64,4.47,1.65
cattle,5.42,1.59,2.64,1.84,4.74,2.31
catwalk,5.65,1.04,4.52,1.86,5.95,1.86
cauldron,4.91,1.66,4.41,2.44,4.89,2.23
cauliflower,5.35,1.98,2.29,1.27,5.87,2.58
cause,5.14,1.58,3.48,2.44,5.17,2.01
caution,3.29,1.27,4,2.45,4.86,2.67
cautious,6.05,1.22,3.57,2.29,6,2.29
cavalier,5.48,1.25,4,2.05,5.52,2.23
cavalry,5.05,1.86,4.18,2.65,4.96,2.23
cave,5.15,1.87,4.39,2.45,4.45,2.06
caveman,5.4,2.11,4.14,2.4,5.42,2.27
cavern,5.38,1.63,3.63,2.5,4.41,2.34
caviar,5.53,2.44,3.8,2.97,5.53,2.04
caving,5,1.3,4.14,2.43,5.32,2.5
cavity,2.6,2.01,4.77,2.64,4.96,2.62
cayenne,5.55,1.99,3.8,2.35,4.95,2.01
cease,3.95,1.69,3.64,2.48,5.17,2.09
cedar,6.32,1.52,3.21,1.75,5.1,2.05
ceiling,5.39,1.29,2.75,2.05,5.16,1.77
celebrate,7.84,1.3,6.73,1.83,6.12,2.07
celebration,7.53,1.5,5.9,2.95,7,1.68
celebrity,5.42,2.04,4.86,2.71,4.67,2.08
celery,5.71,1.68,2.81,1.57,6.28,1.97
celestial,6.76,1.51,4.68,2.36,5.18,2.72
celibacy,3.85,1.57,2.71,1.68,5.92,2.59
celibate,3.72,2.19,3,1.85,6.1,2.3
cell,4.09,2.69,4.23,2.32,4.86,2.26
cellar,4.7,1.42,3.14,1.78,4.75,2.4
cellblock,2.95,1.8,4.7,2.89,4.08,2.37
cellist,5.84,1.42,3.85,2.37,5.25,1.7
cellmate,2.2,1.47,4,2.47,2.41,1.62
cello,5.75,1.37,3.83,2.53,6.41,1.97
cellophane,5.05,1.12,3.64,2.19,4.81,1.81
cellular,5.68,1.25,3.67,2.31,5.74,2.12
cellulite,2.67,1.59,4.67,2.35,4.32,2.19
celluloid,4.3,1.89,2.71,2.22,4.44,2.12
cement,4.62,1.53,3.28,2.41,4.84,2.27
cemetery,3.49,1.83,4.1,2.32,3.82,2.46
censor,4.1,2,4.45,2.48,4.15,2.48
censorship,3.43,1.6,4.25,2.98,3.26,2.26
census,4.91,0.92,3.54,2.04,4.91,2.72
cent,5.37,1.61,3.76,1.58,5.3,1.94
centennial,5.58,1.02,2.86,1.77,6.09,1.88
center,5.56,1.76,2.62,1.83,5.72,1.56
centerfold,4.89,2.3,4.95,2.82,4.76,1.88
centerpiece,5.95,1.28,3.36,2.17,6.15,2.03
centipede,3.95,1.85,4.82,2.3,3.84,1.89
central,5.33,1.2,3.5,1.91,5.76,2.21
century,5.36,1.47,3.19,1.99,4.68,2.32
ceramic,5.74,1.52,3.57,2.5,5.47,1.35
ceramics,5.21,1.58,2.86,1.64,6,2
cereal,6.45,0.89,3.05,1.88,5.77,1.97
cerebral,4.95,1.91,3.7,2.1,6.76,2.11
ceremonial,5.67,1.96,4.4,2.58,5.36,1.81
ceremony,6.38,1.77,3.83,2.74,5.67,2.52
certain,6.11,1.57,3,2.36,6.78,1.8
certainty,6.38,1.75,4.35,2.52,6.05,1.99
certifiable,5.16,2.24,4.68,2.32,4.71,2.22
certificate,6,1.75,3.61,2.43,5.47,1.81
certified,6.06,1.21,4.57,2.23,6.52,1.88
certify,5.89,1.41,3.62,2.53,5.93,2.11
cervical,4.67,1.02,5,2.17,4.67,2.44
cervix,4.45,1.87,4.58,1.95,4.57,2.4
cesspool,2.95,1.59,4.42,2.32,3.65,2.1
cha cha,6.52,1.47,5.73,2.12,5.32,1.36
chain,4.79,1.55,4.05,2.33,4.2,2.21
chainsaw,4,1.87,5.15,2.96,5.03,2.16
